Supermarket,Weekday,Saturday
Four Square BKs Torbay,2,1
Four Square Botany Junction,2,1
Four Square Cockle Bay,2,1
Four Square Ellerslie,2,1
Four Square Everglade,2,1
Four Square Fair Price Henderson,2,1
Four Square Glen Eden,2,1
Four Square Great Eastern,2,1
Four Square Hobsonville,2,1
Four Square Lancaster,2,1
Four Square Pakuranga Heights,2,1
Fresh Collective Alberton,2,1
New World Albany,6,2
New World Birkenhead,6,2
New World Botany,6,2
New World Browns Bay,6,2
New World Devonport,6,2
New World Eastridge,6,2
New World Green Bay,6,2
New World Howick,6,2
New World Long Bay,6,2
New World Metro Queen St,6,2
New World Milford,6,2
New World Mt Roskill,6,2
New World New Lynn,6,2
New World Papakura,6,2
New World Papatoetoe,6,2
New World Remuera,6,2
New World Southmall,6,2
New World Stonefields,6,2
New World Victoria Park,6,2
Pak 'n Save Albany,8,4
Pak 'n Save Botany,8,4
Pak 'n Save Clendon,8,4
Pak 'n Save Glen Innes,8,4
Pak 'n Save Henderson,8,4
Pak 'n Save Lincoln Road,8,4
Pak 'n Save Mangere,8,4
Pak 'n Save Manukau,8,4
Pak 'n Save Mt Albert,8,4
Pak 'n Save Ormiston,8,4
Pak 'n Save Papakura,8,4
Pak 'n Save Royal Oak,8,4
Pak 'n Save Sylvia Park,8,4
Pak 'n Save Wairau Road,8,4
Pak 'n Save Westgate,8,4
